iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
160,1318912,329728,569,482.3,21.58,,-0.0358,0.0734,2.3726,0.01322,0.4404
161,1327104,331776,573,484.7,21.53,,-0.0314,0.067,2.3969,0.01668,0.463
162,1335296,333824,575,487.1,21.57,,-0.0345,0.0854,2.3937,0.01314,0.4332
163,1343488,335872,578,489.6,21.54,,-0.035,0.074,2.3803,0.01254,0.4501
164,1351680,337920,580,492.0,21.63,,-0.0349,0.0755,2.3359,0.01271,0.4469
165,1359872,339968,586,494.4,21.76,,-0.0335,0.0736,2.3859,0.01305,0.4427
166,1368064,342016,591,496.9,21.81,,-0.0364,0.0832,2.3507,0.01478,0.4355
167,1376256,344064,591,499.3,21.81,,-0.0376,0.0677,2.4282,0.01346,0.4319
168,1384448,346112,595,501.7,21.86,,-0.0363,0.0864,2.3894,0.01573,0.4489
169,1392640,348160,598,504.2,21.58,,-0.0354,0.0766,2.3799,0.01729,0.4904
170,1400832,350208,602,506.6,21.55,,-0.0353,0.0919,2.369,0.01403,0.4534
171,1409024,352256,606,509.1,21.7,,-0.0364,0.0857,2.3908,0.01621,0.4818
172,1417216,354304,608,511.5,21.65,,-0.0343,0.0705,2.3795,0.01518,0.4503
173,1425408,356352,612,513.9,21.79,,-0.039,0.0761,2.3715,0.01634,0.4709
174,1433600,358400,614,516.3,21.71,,-0.0359,0.0837,2.3756,0.0145,0.4631
175,1441792,360448,617,518.8,21.8,,-0.036,0.0726,2.3813,0.01507,0.454
176,1449984,362496,622,521.2,21.94,,-0.0328,0.0704,2.338,0.01552,0.4554
177,1458176,364544,627,523.7,21.89,,-0.0314,0.0826,2.3629,0.01534,0.4557
178,1466368,366592,631,526.1,21.75,,-0.037,0.0714,2.3713,0.01525,0.4486
179,1474560,368640,632,528.5,21.74,,-0.0371,0.0944,2.3424,0.01492,0.4431
180,1482752,370688,633,530.9,21.66,,-0.0327,0.0878,2.3268,0.01709,0.4536
181,1490944,372736,637,533.4,21.78,,-0.0341,0.0942,2.3301,0.01423,0.4249
182,1499136,374784,642,535.8,22.02,,-0.0369,0.0747,2.3087,0.01565,0.4716
183,1507328,376832,647,538.3,22.11,,-0.0392,0.0574,2.2869,0.01805,0.4791
184,1515520,378880,649,540.7,22.23,,-0.0356,0.0724,2.349,0.01465,0.4603
185,1523712,380928,650,543.1,22.21,,-0.0375,0.082,2.3407,0.01553,0.4487
186,1531904,382976,653,545.6,22.4,,-0.0352,0.0895,2.3176,0.01657,0.463
187,1540096,385024,655,548.0,22.44,,-0.0348,0.0924,2.3184,0.01784,0.4836
188,1548288,387072,663,550.5,22.97,,-0.0371,0.086,2.2981,0.0182,0.4778
189,1556480,389120,666,552.9,23.02,,-0.0368,0.0643,2.2749,0.0166,0.4756
190,1564672,391168,668,555.3,23.11,,-0.0379,0.0857,2.3311,0.01898,0.4868
191,1572864,393216,669,557.7,22.99,,-0.0334,0.0989,2.2913,0.01857,0.484
192,1581056,395264,674,560.2,23.08,,-0.0409,0.0869,2.2753,0.019,0.4801
193,1589248,397312,681,562.7,23.32,,-0.0345,0.0614,2.2405,0.01477,0.449
194,1597440,399360,682,565.1,23.2,,-0.0382,0.076,2.2679,0.01714,0.4674
195,1605632,401408,686,567.5,22.95,,-0.0329,0.0756,2.306,0.01882,0.4854
196,1613824,403456,690,569.9,22.72,,-0.0312,0.1061,2.3281,0.01665,0.4838
197,1622016,405504,693,572.4,22.69,,-0.0368,0.0856,2.3145,0.01566,0.4387
198,1630208,407552,695,574.8,22.57,,-0.039,0.0814,2.314,0.01703,0.4293
199,1638400,409600,699,577.2,22.76,,-0.0368,0.0964,2.3078,0.01766,0.4747
200,1646592,411648,705,642.4,22.66,612.969970703125,-0.0362,0.0937,2.2755,0.01527,0.4348
201,1654784,413696,707,644.9,22.64,,-0.038,0.0677,2.2607,0.01725,0.4683
202,1662976,415744,711,647.3,22.71,,-0.0365,0.0736,2.2816,0.01512,0.4486
203,1671168,417792,712,649.7,22.64,,-0.0345,0.0976,2.2259,0.0163,0.4628
204,1679360,419840,714,652.1,22.73,,-0.0363,0.1059,2.2476,0.01676,0.4668
205,1687552,421888,720,654.6,22.9,,-0.0395,0.0907,2.2162,0.01879,0.4738
206,1695744,423936,723,657.0,23.09,,-0.0363,0.084,2.201,0.01819,0.4657
207,1703936,425984,727,659.5,23.06,,-0.037,0.0828,2.2169,0.01879,0.4744
208,1712128,428032,730,661.9,23.29,,-0.034,0.0901,2.1726,0.01568,0.4559
209,1720320,430080,732,664.3,23.36,,-0.0344,0.0873,2.2356,0.02025,0.4775
210,1728512,432128,733,666.7,23.48,,-0.0375,0.0924,2.2215,0.02122,0.4935
211,1736704,434176,739,669.2,23.6,,-0.035,0.0755,2.2103,0.01703,0.465
212,1744896,436224,743,671.6,23.62,,-0.0332,0.0844,2.2238,0.0228,0.4862
213,1753088,438272,746,674.1,23.63,,-0.0361,0.0686,2.1797,0.02122,0.4873
214,1761280,440320,748,676.5,23.73,,-0.0345,0.0722,2.2442,0.01934,0.4915
215,1769472,442368,750,678.9,23.75,,-0.0372,0.0912,2.226,0.02004,0.4634
216,1777664,444416,757,681.4,23.78,,-0.0339,0.0907,2.1902,0.02303,0.4758
217,1785856,446464,759,683.8,23.57,,-0.0391,0.065,2.2338,0.01729,0.4524
218,1794048,448512,761,686.2,23.59,,-0.0342,0.0827,2.2507,0.01661,0.4622
219,1802240,450560,762,688.6,23.62,,-0.0352,0.0776,2.2566,0.01708,0.4573
220,1810432,452608,764,691.1,23.56,,-0.0361,0.0797,2.264,0.01738,0.4769
221,1818624,454656,771,693.5,23.71,,-0.0363,0.0715,2.2581,0.01732,0.4688
222,1826816,456704,774,696.0,23.7,,-0.0338,0.0813,2.2609,0.01737,0.4702
223,1835008,458752,778,698.4,23.65,,-0.0358,0.0718,2.2588,0.01792,0.474
224,1843200,460800,780,700.8,23.47,,-0.0362,0.0693,2.2166,0.01702,0.4573
225,1851392,462848,783,703.3,23.42,,-0.0358,0.0877,2.2331,0.02082,0.4843
226,1859584,464896,786,705.7,23.68,,-0.0394,0.0861,2.2372,0.02194,0.5104
227,1867776,466944,789,708.1,23.93,,-0.0305,0.0929,2.3146,0.01962,0.5089
228,1875968,468992,795,710.6,24.42,,-0.0363,0.074,2.2607,0.01997,0.4878
229,1884160,471040,796,713.0,24.4,,-0.0358,0.0746,2.3015,0.01813,0.4812
230,1892352,473088,799,715.5,24.36,,-0.0363,0.0805,2.3479,0.01983,0.4685
231,1900544,475136,801,717.9,24.44,,-0.0366,0.0801,2.2798,0.01983,0.4983
232,1908736,477184,809,720.3,24.56,,-0.0353,0.0712,2.3257,0.01677,0.4689
233,1916928,479232,811,722.8,24.49,,-0.0373,0.0788,2.2828,0.01732,0.483
234,1925120,481280,813,725.2,24.61,,-0.0368,0.0856,2.3033,0.01786,0.4657
235,1933312,483328,815,727.6,24.59,,-0.0365,0.0795,2.2556,0.01901,0.4897
236,1941504,485376,822,730.1,24.32,,-0.039,0.0848,2.283,0.01929,0.4674
237,1949696,487424,824,732.5,24.42,,-0.0362,0.0832,2.2655,0.01759,0.4773
238,1957888,489472,826,735.0,24.49,,-0.0378,0.0835,2.2988,0.01503,0.4218
239,1966080,491520,829,737.4,24.38,,-0.0355,0.0834,2.3366,0.01725,0.4342
240,1974272,493568,832,739.8,24.18,,-0.04,0.0747,2.335,0.02038,0.4735
241,1982464,495616,839,742.3,23.89,,-0.0371,0.0904,2.2924,0.01655,0.468
242,1990656,497664,841,744.7,23.85,,-0.0373,0.0718,2.3069,0.01771,0.4637
243,1998848,499712,842,747.1,23.7,,-0.0368,0.0744,2.3302,0.01569,0.4408
244,2007040,501760,846,749.6,23.48,,-0.0376,0.0855,2.3169,0.01963,0.4906
245,2015232,503808,849,752.0,23.39,,-0.0366,0.0868,2.2791,0.01615,0.4752
246,2023424,505856,854,754.5,23.56,,-0.0401,0.0797,2.3036,0.01938,0.4725
247,2031616,507904,858,756.9,23.6,,-0.0349,0.0786,2.2841,0.016,0.4478
248,2039808,509952,862,759.4,23.42,,-0.0388,0.078,2.2907,0.01797,0.4683
249,2048000,512000,863,761.8,23.46,,-0.0382,0.0687,2.2609,0.01862,0.4797
