iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
151,1245184,311296,947,517.8,11.56,,-0.0348,0.0204,2.2363,0.01983,0.4592
152,1253376,313344,952,520.6,11.71,,-0.0328,0.0224,2.2177,0.02063,0.4731
153,1261568,315392,953,523.4,11.83,,-0.0314,0.0253,2.1509,0.01866,0.4774
154,1269760,317440,957,526.2,12.02,,-0.0371,0.0295,2.1932,0.02148,0.4695
155,1277952,319488,960,529.0,12.0,,-0.0328,0.0236,2.1581,0.01978,0.4663
156,1286144,321536,965,531.9,12.23,,-0.0331,0.0256,2.1281,0.02363,0.494
157,1294336,323584,967,534.7,12.31,,-0.0316,0.0216,2.1225,0.01985,0.4883
158,1302528,325632,971,537.5,12.42,,-0.034,0.0264,2.1461,0.02039,0.4553
159,1310720,327680,975,540.3,12.46,,-0.0336,0.025,2.1282,0.01986,0.4692
160,1318912,329728,979,543.2,12.51,,-0.0323,0.0235,2.1712,0.02243,0.4935
161,1327104,331776,979,545.9,12.51,,-0.036,0.0182,2.1801,0.02068,0.4888
162,1335296,333824,982,548.8,12.64,,-0.0355,0.0224,2.1433,0.02283,0.4866
163,1343488,335872,985,551.6,12.8,,-0.0332,0.0226,2.13,0.02016,0.4635
164,1351680,337920,989,554.4,13.05,,-0.0332,0.0259,2.1122,0.0222,0.475
165,1359872,339968,993,557.2,13.17,,-0.0324,0.0212,2.1174,0.02482,0.5034
166,1368064,342016,995,560.0,13.4,,-0.0349,0.0211,2.1055,0.02194,0.4978
167,1376256,344064,999,562.9,13.59,,-0.0357,0.0217,2.0805,0.02306,0.4788
168,1384448,346112,999,565.7,13.59,,-0.0375,0.0219,2.1041,0.02227,0.4788
169,1392640,348160,1002,568.5,13.67,,-0.0296,0.0269,2.0532,0.02327,0.4879
170,1400832,350208,1005,571.3,13.77,,-0.0363,0.0245,2.0134,0.02432,0.4712
171,1409024,352256,1009,574.1,13.96,,-0.0342,0.0241,1.9994,0.02427,0.4564
172,1417216,354304,1011,577.0,14.09,,-0.0319,0.0211,2.0936,0.02467,0.4962
173,1425408,356352,1013,579.8,14.27,,-0.0342,0.0213,2.0463,0.02367,0.4705
174,1433600,358400,1017,582.6,14.43,,-0.0343,0.0255,2.0438,0.02795,0.5077
175,1441792,360448,1021,585.4,14.45,,-0.0348,0.0239,1.9947,0.02671,0.4894
176,1449984,362496,1024,588.2,14.41,,-0.0329,0.0284,2.0119,0.02723,0.514
177,1458176,364544,1026,591.0,14.48,,-0.0312,0.022,1.9973,0.02412,0.4769
178,1466368,366592,1030,593.9,14.6,,-0.0335,0.0257,1.9551,0.02696,0.4855
179,1474560,368640,1034,596.7,14.75,,-0.0331,0.0283,1.9567,0.02513,0.4622
180,1482752,370688,1035,599.5,14.75,,-0.0337,0.0224,2.0157,0.0248,0.4919
181,1490944,372736,1037,602.3,14.76,,-0.0311,0.0228,1.9787,0.02493,0.4847
182,1499136,374784,1040,605.1,14.75,,-0.0312,0.0229,1.9731,0.0289,0.4904
183,1507328,376832,1044,608.0,15.0,,-0.0327,0.0269,1.9397,0.03267,0.5143
184,1515520,378880,1048,610.8,15.11,,-0.0324,0.0208,2.0374,0.02752,0.5154
185,1523712,380928,1050,613.6,15.17,,-0.0334,0.0217,2.0513,0.02472,0.4753
186,1531904,382976,1053,616.4,15.14,,-0.0302,0.0202,1.9972,0.02621,0.4916
187,1540096,385024,1057,619.2,15.17,,-0.0322,0.0218,1.9495,0.0243,0.4652
188,1548288,387072,1059,622.0,15.21,,-0.0348,0.0236,1.9557,0.02893,0.4999
189,1556480,389120,1062,624.9,15.28,,-0.0349,0.021,1.9738,0.02487,0.4796
190,1564672,391168,1065,627.7,15.41,,-0.0333,0.0228,2.0466,0.02771,0.4879
191,1572864,393216,1067,630.5,15.46,,-0.0335,0.0217,2.0365,0.02895,0.4993
192,1581056,395264,1071,633.3,15.58,,-0.0304,0.0271,2.0878,0.02866,0.5184
193,1589248,397312,1075,636.1,15.67,,-0.0323,0.0218,2.0914,0.02482,0.4956
194,1597440,399360,1077,639.0,15.75,,-0.0335,0.0203,2.0408,0.02381,0.4858
195,1605632,401408,1079,641.8,15.82,,-0.0347,0.0269,2.0115,0.02899,0.5029
196,1613824,403456,1084,644.6,15.69,,-0.033,0.0259,1.9814,0.02692,0.4773
197,1622016,405504,1086,647.4,15.64,,-0.0273,0.0227,2.0014,0.02785,0.4735
198,1630208,407552,1091,650.2,15.64,,-0.0321,0.025,2.0271,0.02723,0.4901
199,1638400,409600,1093,653.1,15.65,,-0.0287,0.0204,1.9229,0.02853,0.4929
200,1646592,411648,1096,750.0,15.67,30.719999313354492,-0.032,0.0201,1.8865,0.02901,0.479
201,1654784,413696,1099,752.8,15.56,,-0.0352,0.0242,1.9326,0.02749,0.4722
202,1662976,415744,1103,755.6,15.52,,-0.0331,0.0254,2.0004,0.02685,0.4857
203,1671168,417792,1106,758.4,15.47,,-0.0346,0.0228,1.9353,0.02903,0.5056
204,1679360,419840,1107,761.2,15.43,,-0.0332,0.0194,1.9991,0.02545,0.47
205,1687552,421888,1111,764.1,15.2,,-0.0346,0.0279,1.9463,0.0303,0.4911
206,1695744,423936,1114,766.9,15.16,,-0.0331,0.024,2.0191,0.02641,0.5026
207,1703936,425984,1118,769.7,15.18,,-0.0315,0.0267,2.0219,0.02899,0.4858
208,1712128,428032,1122,772.5,15.17,,-0.028,0.0255,2.0928,0.02674,0.5032
209,1720320,430080,1124,775.4,15.26,,-0.0335,0.0266,2.0799,0.02471,0.4808
210,1728512,432128,1128,778.2,15.07,,-0.0309,0.0259,2.1049,0.02311,0.4706
211,1736704,434176,1131,781.0,14.86,,-0.032,0.0249,2.1072,0.02395,0.5024
212,1744896,436224,1136,783.8,14.74,,-0.0301,0.0298,1.9779,0.02619,0.472
213,1753088,438272,1138,786.7,14.74,,-0.0331,0.0231,2.0729,0.02362,0.4785
214,1761280,440320,1140,789.5,14.68,,-0.0334,0.0229,2.0644,0.02453,0.4572
215,1769472,442368,1144,792.3,14.37,,-0.0309,0.0236,2.0512,0.02645,0.4939
216,1777664,444416,1148,795.1,14.55,,-0.0292,0.0243,2.0849,0.02555,0.499
217,1785856,446464,1150,797.9,14.46,,-0.0321,0.027,2.0049,0.02402,0.4452
218,1794048,448512,1154,800.7,14.5,,-0.0315,0.0239,2.0243,0.02442,0.4519
219,1802240,450560,1156,803.5,14.42,,-0.0357,0.0207,1.9842,0.02439,0.4755
220,1810432,452608,1160,806.4,14.57,,-0.0301,0.023,1.9675,0.02312,0.4583
221,1818624,454656,1163,809.2,14.48,,-0.0309,0.0226,2.0225,0.02499,0.4803
222,1826816,456704,1168,812.0,14.39,,-0.0294,0.0259,1.98,0.02105,0.4685
223,1835008,458752,1170,814.8,14.25,,-0.0335,0.0225,1.9576,0.02824,0.4795
224,1843200,460800,1173,817.6,14.28,,-0.0332,0.0266,1.9272,0.02719,0.4728
225,1851392,462848,1175,820.4,14.2,,-0.0329,0.0258,1.9481,0.02746,0.4963
226,1859584,464896,1179,823.3,14.14,,-0.0316,0.0252,2.0261,0.02719,0.4835
227,1867776,466944,1181,826.1,14.21,,-0.0305,0.0224,1.9652,0.02749,0.4502
