method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,13,"biggrid50-goal(3,17)",13,"biggrid50-goal(3,17)",0.9163264632225037,0.6825804295515319
finetune,14,"biggrid50-goal(15,45)",0,"biggrid50-goal(40,31)",0.7860544323921204,0.35487175118334857
finetune,14,"biggrid50-goal(15,45)",1,"biggrid50-goal(9,31)",0.9051019549369812,0.5707689076683717
finetune,14,"biggrid50-goal(15,45)",2,"biggrid50-goal(15,31)",0.9091836810112,0.6073529214698112
finetune,14,"biggrid50-goal(15,45)",3,"biggrid50-goal(9,24)",0.954761803150177,0.7772189284848371
finetune,14,"biggrid50-goal(15,45)",4,"biggrid50-goal(21,17)",0.7571429014205933,0.12607115892789733
finetune,14,"biggrid50-goal(15,45)",5,"biggrid50-goal(27,3)",0.6731292009353638,-0.1820422109434965
finetune,14,"biggrid50-goal(15,45)",6,"biggrid50-goal(3,31)",0.9370747208595276,0.7946722307053325
finetune,14,"biggrid50-goal(15,45)",7,"biggrid50-goal(33,10)",0.7707481980323792,-0.41299837106146986
finetune,14,"biggrid50-goal(15,45)",8,"biggrid50-goal(27,45)",0.7006803154945374,0.16190476349421934
finetune,14,"biggrid50-goal(15,45)",9,"biggrid50-goal(21,45)",0.9081631898880005,0.684210310572322
finetune,14,"biggrid50-goal(15,45)",10,"biggrid50-goal(33,3)",0.712925136089325,-0.7919312592548498
finetune,14,"biggrid50-goal(15,45)",11,"biggrid50-goal(21,24)",0.874829888343811,0.4390243967592799
finetune,14,"biggrid50-goal(15,45)",12,"biggrid50-goal(21,3)",0.7176870107650757,0.05142834712437007
finetune,14,"biggrid50-goal(15,45)",13,"biggrid50-goal(3,17)",0.788095235824585,0.19612912503736518
finetune,14,"biggrid50-goal(15,45)",14,"biggrid50-goal(15,45)",0.9261904358863831,0.7148486657871777
finetune,15,"biggrid50-goal(3,24)",0,"biggrid50-goal(40,31)",0.7258502840995789,0.1733330673315274
finetune,15,"biggrid50-goal(3,24)",1,"biggrid50-goal(9,31)",0.9023809432983398,0.5584615645916464
finetune,15,"biggrid50-goal(3,24)",2,"biggrid50-goal(15,31)",0.8880951404571533,0.5161759839853377
finetune,15,"biggrid50-goal(3,24)",3,"biggrid50-goal(9,24)",0.9795916676521301,0.8994966540468158
finetune,15,"biggrid50-goal(3,24)",4,"biggrid50-goal(21,17)",0.7693876624107361,0.1701343131198737
finetune,15,"biggrid50-goal(3,24)",5,"biggrid50-goal(27,3)",0.6765305995941162,-0.16974194795764033
finetune,15,"biggrid50-goal(3,24)",6,"biggrid50-goal(3,31)",0.9717685580253601,0.9078796457670966
finetune,15,"biggrid50-goal(3,24)",7,"biggrid50-goal(33,10)",0.8040816187858582,-0.20754712129016045
finetune,15,"biggrid50-goal(3,24)",8,"biggrid50-goal(27,45)",0.6775510311126709,0.09714275796071405
finetune,15,"biggrid50-goal(3,24)",9,"biggrid50-goal(21,45)",0.8336734771728516,0.4280702811528955
finetune,15,"biggrid50-goal(3,24)",10,"biggrid50-goal(33,3)",0.7193877696990967,-0.7515912760717023
finetune,15,"biggrid50-goal(3,24)",11,"biggrid50-goal(21,24)",0.9010202288627625,0.5564017952236536
finetune,15,"biggrid50-goal(3,24)",12,"biggrid50-goal(21,3)",0.7374149560928345,0.11771424405779117
finetune,15,"biggrid50-goal(3,24)",13,"biggrid50-goal(3,17)",0.8982991576194763,0.6141929820832521
finetune,15,"biggrid50-goal(3,24)",14,"biggrid50-goal(15,45)",0.849319577217102,0.417870514312268
finetune,15,"biggrid50-goal(3,24)",15,"biggrid50-goal(3,24)",0.992516815662384,0.970229286213779
finetune,16,"biggrid50-goal(3,10)",0,"biggrid50-goal(40,31)",0.9129250645637512,0.7374355484813454
finetune,16,"biggrid50-goal(3,10)",1,"biggrid50-goal(9,31)",0.9047619104385376,0.5692308604787654
finetune,16,"biggrid50-goal(3,10)",2,"biggrid50-goal(15,31)",0.8935374021530151,0.5397057656288816
finetune,16,"biggrid50-goal(3,10)",3,"biggrid50-goal(9,24)",0.9673467874526978,0.8391952335357323
finetune,16,"biggrid50-goal(3,10)",4,"biggrid50-goal(21,17)",0.7534013986587524,0.11260724458629329
finetune,16,"biggrid50-goal(3,10)",5,"biggrid50-goal(27,3)",0.7006803154945374,-0.08241085671829604
finetune,16,"biggrid50-goal(3,10)",6,"biggrid50-goal(3,31)",0.9908161759376526,0.970032805033619
finetune,16,"biggrid50-goal(3,10)",7,"biggrid50-goal(33,10)",0.8261903524398804,-0.07127946986390245
finetune,16,"biggrid50-goal(3,10)",8,"biggrid50-goal(27,45)",0.6693877577781677,0.07428558935436097
finetune,16,"biggrid50-goal(3,10)",9,"biggrid50-goal(21,45)",0.8768705725669861,0.5766076413035303
finetune,16,"biggrid50-goal(3,10)",10,"biggrid50-goal(33,3)",0.7431972622871399,-0.6029715973777616
finetune,16,"biggrid50-goal(3,10)",11,"biggrid50-goal(21,24)",0.8853740692138672,0.48628031229689733
finetune,16,"biggrid50-goal(3,10)",12,"biggrid50-goal(21,3)",0.9241495728492737,0.7451425623430497
finetune,16,"biggrid50-goal(3,10)",13,"biggrid50-goal(3,17)",0.8557822108268738,0.45290290749759304
finetune,16,"biggrid50-goal(3,10)",14,"biggrid50-goal(15,45)",0.8455781936645508,0.4034162830127896
finetune,16,"biggrid50-goal(3,10)",15,"biggrid50-goal(3,24)",0.994217574596405,0.9769954976499425
finetune,16,"biggrid50-goal(3,10)",16,"biggrid50-goal(3,10)",0.8003400564193726,0.41475543162542117
finetune,17,"biggrid50-goal(46,31)",0,"biggrid50-goal(40,31)",0.9098637700080872,0.728204566891546
finetune,17,"biggrid50-goal(46,31)",1,"biggrid50-goal(9,31)",0.8272107839584351,0.21846120333253444
