method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
cka_rl,11,"biggrid50-goal(21,24)",0,"biggrid50-goal(40,31)",0.8153060078620911,0.4644966574364457
cka_rl,11,"biggrid50-goal(21,24)",1,"biggrid50-goal(9,31)",0.886734664440155,0.48049914021471396
cka_rl,11,"biggrid50-goal(21,24)",2,"biggrid50-goal(15,31)",0.8935373425483704,0.5063086953000642
cka_rl,11,"biggrid50-goal(21,24)",3,"biggrid50-goal(9,24)",0.9387754201889038,0.6326528276717909
cka_rl,11,"biggrid50-goal(21,24)",4,"biggrid50-goal(21,17)",0.7731292843818665,0.18757622624739972
cka_rl,11,"biggrid50-goal(21,24)",5,"biggrid50-goal(27,3)",0.7826529741287231,0.23655888539646522
cka_rl,11,"biggrid50-goal(21,24)",6,"biggrid50-goal(3,31)",0.9673468470573425,0.8714855999003468
cka_rl,11,"biggrid50-goal(21,24)",7,"biggrid50-goal(33,10)",0.9085032939910889,0.645118372093292
cka_rl,11,"biggrid50-goal(21,24)",8,"biggrid50-goal(27,45)",0.6989795565605164,0.14903843399556313
cka_rl,11,"biggrid50-goal(21,24)",9,"biggrid50-goal(21,45)",0.8789114356040955,0.5908042138406712
cka_rl,11,"biggrid50-goal(21,24)",10,"biggrid50-goal(33,3)",0.9469386339187622,0.7987090746453867
cka_rl,11,"biggrid50-goal(21,24)",11,"biggrid50-goal(21,24)",0.9625848531723022,0.8178799262377174
cka_rl,12,"biggrid50-goal(21,3)",0,"biggrid50-goal(40,31)",0.8442175388336182,0.5483229979398341
cka_rl,12,"biggrid50-goal(21,3)",1,"biggrid50-goal(9,31)",0.8948978185653687,0.5179401239512397
cka_rl,12,"biggrid50-goal(21,3)",2,"biggrid50-goal(15,31)",0.8741495609283447,0.41640318822048883
cka_rl,12,"biggrid50-goal(21,3)",3,"biggrid50-goal(9,24)",0.9527209997177124,0.7163262350221103
cka_rl,12,"biggrid50-goal(21,3)",4,"biggrid50-goal(21,17)",0.7884353399276733,0.24238719369161502
cka_rl,12,"biggrid50-goal(21,3)",5,"biggrid50-goal(27,3)",0.8499998450279236,0.47311777079293044
cka_rl,12,"biggrid50-goal(21,3)",6,"biggrid50-goal(3,31)",0.9302719831466675,0.7255684842507817
cka_rl,12,"biggrid50-goal(21,3)",7,"biggrid50-goal(33,10)",0.9493196606636047,0.8034298488864434
cka_rl,12,"biggrid50-goal(21,3)",8,"biggrid50-goal(27,45)",0.6976190805435181,0.1451924732737323
cka_rl,12,"biggrid50-goal(21,3)",9,"biggrid50-goal(21,45)",0.8591835498809814,0.5241375740303468
cka_rl,12,"biggrid50-goal(21,3)",10,"biggrid50-goal(33,3)",0.9404760599136353,0.7741929794571656
cka_rl,12,"biggrid50-goal(21,3)",11,"biggrid50-goal(21,24)",0.9088433980941772,0.5562907413016559
cka_rl,12,"biggrid50-goal(21,3)",12,"biggrid50-goal(21,3)",0.9564625024795532,0.8596488598696362
cka_rl,13,"biggrid50-goal(3,17)",0,"biggrid50-goal(40,31)",0.7622448205947876,0.3106505966462551
cka_rl,13,"biggrid50-goal(3,17)",1,"biggrid50-goal(9,31)",0.915306031703949,0.6115440868916233
cka_rl,13,"biggrid50-goal(3,17)",2,"biggrid50-goal(15,31)",0.8846939206123352,0.46529975734830537
cka_rl,13,"biggrid50-goal(3,17)",3,"biggrid50-goal(9,24)",0.9656461477279663,0.7938770583701839
cka_rl,13,"biggrid50-goal(3,17)",4,"biggrid50-goal(21,17)",0.7986394166946411,0.27892798095053517
cka_rl,13,"biggrid50-goal(3,17)",5,"biggrid50-goal(27,3)",0.753741443157196,0.1350058443952532
cka_rl,13,"biggrid50-goal(3,17)",6,"biggrid50-goal(3,31)",0.9867345094680786,0.9477904458190811
cka_rl,13,"biggrid50-goal(3,17)",7,"biggrid50-goal(33,10)",0.9629250168800354,0.8561999558438166
cka_rl,13,"biggrid50-goal(3,17)",8,"biggrid50-goal(27,45)",0.7149659395217896,0.19423070507201762
cka_rl,13,"biggrid50-goal(3,17)",9,"biggrid50-goal(21,45)",0.8690475225448608,0.5574709946467924
cka_rl,13,"biggrid50-goal(3,17)",10,"biggrid50-goal(33,3)",0.9357141256332397,0.7561283454575219
cka_rl,13,"biggrid50-goal(3,17)",11,"biggrid50-goal(21,24)",0.8887754678726196,0.4586091005202585
cka_rl,13,"biggrid50-goal(3,17)",12,"biggrid50-goal(21,3)",0.8319726586341858,0.45833292502191914
cka_rl,13,"biggrid50-goal(3,17)",13,"biggrid50-goal(3,17)",0.9639453887939453,0.8590418417100955
cka_rl,14,"biggrid50-goal(15,45)",0,"biggrid50-goal(40,31)",0.7700679302215576,0.3333329876968983
cka_rl,14,"biggrid50-goal(15,45)",1,"biggrid50-goal(9,31)",0.9119045734405518,0.5959430163290859
cka_rl,14,"biggrid50-goal(15,45)",2,"biggrid50-goal(15,31)",0.9051018953323364,0.5599361294525647
cka_rl,14,"biggrid50-goal(15,45)",3,"biggrid50-goal(9,24)",0.9482991695404053,0.6897952760974249
cka_rl,14,"biggrid50-goal(15,45)",4,"biggrid50-goal(21,17)",0.7989795207977295,0.2801458933556112
cka_rl,14,"biggrid50-goal(15,45)",5,"biggrid50-goal(27,3)",0.7387754917144775,0.08243727298402909
cka_rl,14,"biggrid50-goal(15,45)",6,"biggrid50-goal(3,31)",0.9537413120269775,0.8179377181526716
cka_rl,14,"biggrid50-goal(15,45)",7,"biggrid50-goal(33,10)",0.9098637700080872,0.650395151604823
cka_rl,14,"biggrid50-goal(15,45)",8,"biggrid50-goal(27,45)",0.6867347359657288,0.11442327101950227
cka_rl,14,"biggrid50-goal(15,45)",9,"biggrid50-goal(21,45)",0.916666567325592,0.7183905047790525
cka_rl,14,"biggrid50-goal(15,45)",10,"biggrid50-goal(33,3)",0.7884352803230286,0.19741873718503564
cka_rl,14,"biggrid50-goal(15,45)",11,"biggrid50-goal(21,24)",0.908843457698822,0.5562910314302061
cka_rl,14,"biggrid50-goal(15,45)",12,"biggrid50-goal(21,3)",0.7772108912467957,0.2817982841697569
cka_rl,14,"biggrid50-goal(15,45)",13,"biggrid50-goal(3,17)",0.9272107481956482,0.7154250584203075
cka_rl,14,"biggrid50-goal(15,45)",14,"biggrid50-goal(15,45)",0.9224488735198975,0.6775101678737079
cka_rl,15,"biggrid50-goal(3,24)",0,"biggrid50-goal(40,31)",0.8442175984382629,0.5483231707580516
cka_rl,15,"biggrid50-goal(3,24)",1,"biggrid50-goal(9,31)",0.9336733222007751,0.6957871887891653
cka_rl,15,"biggrid50-goal(3,24)",2,"biggrid50-goal(15,31)",0.9057822823524475,0.5630912372030183
cka_rl,15,"biggrid50-goal(3,24)",3,"biggrid50-goal(9,24)",0.9605440497398376,0.7632644959865246
cka_rl,15,"biggrid50-goal(3,24)",4,"biggrid50-goal(21,17)",0.7999999523162842,0.2838000574591692
cka_rl,15,"biggrid50-goal(3,24)",5,"biggrid50-goal(27,3)",0.7534013390541077,0.13381121357616482
cka_rl,15,"biggrid50-goal(3,24)",6,"biggrid50-goal(3,31)",0.9710882902145386,0.8862109565511544
cka_rl,15,"biggrid50-goal(3,24)",7,"biggrid50-goal(33,10)",0.8755102157592773,0.5171505159453527
cka_rl,15,"biggrid50-goal(3,24)",8,"biggrid50-goal(27,45)",0.6792516708374023,0.09326922331644649
cka_rl,15,"biggrid50-goal(3,24)",9,"biggrid50-goal(21,45)",0.9197276830673218,0.7287349635535936
