iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
152,1253376,313344,575,565.9,15.02,,-0.0176,0.0724,2.6724,0.00501,0.2922
153,1261568,315392,578,568.7,14.96,,-0.0234,0.0617,2.6587,0.00524,0.2776
154,1269760,317440,585,571.5,15.13,,-0.0177,0.0639,2.6665,0.00476,0.2711
155,1277952,319488,586,574.2,15.05,,-0.022,0.0661,2.6442,0.00622,0.3188
156,1286144,321536,589,577.0,15.02,,-0.0205,0.0664,2.6533,0.00472,0.275
157,1294336,323584,593,579.7,15.31,,-0.0216,0.058,2.6551,0.00474,0.2664
158,1302528,325632,597,582.5,15.56,,-0.0225,0.0628,2.6854,0.0046,0.2665
159,1310720,327680,604,585.3,15.36,,-0.0191,0.081,2.6447,0.00504,0.2841
160,1318912,329728,606,588.1,15.41,,-0.0196,0.0582,2.6753,0.00431,0.2506
161,1327104,331776,609,590.9,15.16,,-0.0213,0.0617,2.6753,0.0056,0.2896
162,1335296,333824,613,593.6,14.97,,-0.0239,0.0595,2.657,0.00525,0.283
163,1343488,335872,614,596.4,15.02,,-0.0245,0.0666,2.6799,0.00653,0.3499
164,1351680,337920,619,599.1,15.12,,-0.0226,0.0665,2.6326,0.00554,0.2821
165,1359872,339968,623,601.9,15.08,,-0.0259,0.0682,2.6446,0.00589,0.3031
166,1368064,342016,627,604.7,15.19,,-0.02,0.065,2.6694,0.00489,0.267
167,1376256,344064,628,607.4,15.31,,-0.0237,0.0555,2.6828,0.00502,0.2791
168,1384448,346112,634,610.2,15.26,,-0.0244,0.0696,2.6419,0.0057,0.3014
169,1392640,348160,639,613.0,15.17,,-0.0226,0.0622,2.6564,0.00596,0.2999
170,1400832,350208,641,615.7,15.34,,-0.0231,0.057,2.6596,0.00557,0.3073
171,1409024,352256,643,618.5,15.42,,-0.0254,0.0508,2.6939,0.00625,0.3079
172,1417216,354304,649,621.3,15.21,,-0.021,0.0714,2.6681,0.00543,0.2914
173,1425408,356352,652,624.0,15.32,,-0.0208,0.0814,2.6224,0.00509,0.295
174,1433600,358400,655,626.8,15.4,,-0.0243,0.0667,2.6129,0.00634,0.3219
175,1441792,360448,658,629.6,15.57,,-0.023,0.0595,2.6522,0.00667,0.3383
176,1449984,362496,661,632.3,15.55,,-0.0206,0.0713,2.6501,0.00484,0.2786
177,1458176,364544,662,635.1,15.48,,-0.0255,0.0614,2.6499,0.00673,0.333
178,1466368,366592,667,637.9,15.93,,-0.0232,0.0604,2.6587,0.00603,0.3167
179,1474560,368640,672,640.6,15.7,,-0.0227,0.0568,2.6299,0.00585,0.2928
180,1482752,370688,677,643.4,15.75,,-0.0238,0.0513,2.641,0.00691,0.333
181,1490944,372736,679,646.2,15.88,,-0.0239,0.0588,2.6615,0.00667,0.3419
182,1499136,374784,682,649.0,15.85,,-0.0202,0.068,2.644,0.00551,0.3092
183,1507328,376832,685,651.7,15.75,,-0.0233,0.0545,2.7072,0.00588,0.3179
184,1515520,378880,691,654.5,15.86,,-0.024,0.0785,2.6476,0.0064,0.3092
185,1523712,380928,694,657.3,15.71,,-0.0258,0.0743,2.6641,0.00573,0.3033
186,1531904,382976,696,660.0,15.76,,-0.0222,0.079,2.6251,0.00657,0.3475
187,1540096,385024,700,662.8,16.01,,-0.0232,0.0606,2.6406,0.00644,0.3313
188,1548288,387072,705,665.5,15.82,,-0.0212,0.0704,2.6208,0.0065,0.3318
189,1556480,389120,707,668.3,15.92,,-0.026,0.0671,2.6233,0.0068,0.3354
190,1564672,391168,711,671.1,16.22,,-0.0253,0.0669,2.598,0.00644,0.3285
191,1572864,393216,712,673.8,16.25,,-0.0281,0.0583,2.6921,0.00732,0.3514
192,1581056,395264,717,676.6,16.44,,-0.0251,0.0684,2.6464,0.00733,0.3574
193,1589248,397312,725,679.4,16.2,,-0.0203,0.0803,2.517,0.00722,0.3635
194,1597440,399360,725,682.1,16.2,,-0.026,0.0678,2.6634,0.00573,0.3059
195,1605632,401408,727,684.9,16.23,,-0.0277,0.0633,2.6784,0.00621,0.3114
196,1613824,403456,732,687.6,15.83,,-0.0273,0.0571,2.6028,0.00703,0.3331
197,1622016,405504,735,690.4,16.05,,-0.0277,0.0702,2.6299,0.00717,0.355
198,1630208,407552,737,693.1,16.29,,-0.0298,0.0585,2.6335,0.00808,0.356
199,1638400,409600,741,695.8,16.45,,-0.0254,0.0526,2.6559,0.00691,0.3353
200,1646592,411648,746,767.1,16.69,405.1499938964844,-0.0226,0.0762,2.5929,0.00701,0.3322
201,1654784,413696,748,769.8,16.86,,-0.0293,0.0631,2.6158,0.00821,0.3665
202,1662976,415744,751,772.6,16.85,,-0.0264,0.0538,2.6378,0.00754,0.3394
203,1671168,417792,755,775.3,16.83,,-0.0249,0.0606,2.6376,0.00769,0.3433
204,1679360,419840,758,778.1,16.79,,-0.0253,0.0866,2.6048,0.00719,0.3387
205,1687552,421888,764,780.9,17.04,,-0.0263,0.0691,2.5724,0.00698,0.3273
206,1695744,423936,766,783.7,17.0,,-0.0253,0.0795,2.5938,0.00763,0.3677
207,1703936,425984,770,786.4,16.93,,-0.0225,0.075,2.6034,0.0069,0.345
208,1712128,428032,774,789.2,16.88,,-0.0263,0.0692,2.5975,0.00778,0.3617
209,1720320,430080,776,792.0,16.75,,-0.0255,0.0722,2.6399,0.00779,0.3597
210,1728512,432128,779,794.7,16.75,,-0.0268,0.0538,2.6134,0.00833,0.3779
211,1736704,434176,783,797.5,17.03,,-0.0265,0.066,2.5823,0.00849,0.3802
212,1744896,436224,786,800.2,17.35,,-0.0289,0.0611,2.5862,0.00796,0.3507
213,1753088,438272,790,803.0,17.4,,-0.0205,0.0747,2.5413,0.00631,0.3267
214,1761280,440320,793,805.8,17.5,,-0.0254,0.0642,2.5804,0.00685,0.3425
215,1769472,442368,797,808.5,17.51,,-0.0212,0.067,2.534,0.00703,0.345
216,1777664,444416,799,811.3,17.32,,-0.025,0.055,2.5314,0.0113,0.4254
217,1785856,446464,804,814.1,17.54,,-0.0216,0.0657,2.5217,0.00774,0.3484
218,1794048,448512,809,816.9,17.29,,-0.0229,0.0741,2.4775,0.00691,0.3407
219,1802240,450560,811,819.6,17.25,,-0.0238,0.0536,2.515,0.00809,0.3693
220,1810432,452608,814,822.4,16.98,,-0.0226,0.0616,2.5546,0.00694,0.3252
221,1818624,454656,814,825.1,16.98,,-0.0234,0.0732,2.5512,0.00617,0.3389
222,1826816,456704,821,827.9,16.99,,-0.027,0.0675,2.4975,0.00759,0.3411
223,1835008,458752,826,830.7,17.6,,-0.0254,0.061,2.4686,0.0098,0.4166
224,1843200,460800,826,833.4,17.6,,-0.028,0.0732,2.5394,0.00844,0.3831
225,1851392,462848,832,836.2,17.8,,-0.0265,0.0654,2.4769,0.00828,0.3763
226,1859584,464896,834,838.9,17.68,,-0.0267,0.0713,2.5337,0.00869,0.3989
227,1867776,466944,835,841.6,17.73,,-0.028,0.0699,2.5242,0.01073,0.4047
228,1875968,468992,839,844.4,17.77,,-0.0259,0.0599,2.5093,0.00943,0.3848
229,1884160,471040,842,847.1,17.7,,-0.0278,0.073,2.533,0.00914,0.3801
230,1892352,473088,847,849.8,17.85,,-0.0265,0.0599,2.4873,0.00909,0.3734
231,1900544,475136,850,852.5,17.89,,-0.0203,0.087,2.5053,0.00889,0.3936
232,1908736,477184,852,855.3,17.69,,-0.0253,0.08,2.4985,0.00719,0.3652
233,1916928,479232,855,858.0,18.06,,-0.0268,0.0838,2.5108,0.00817,0.3596
234,1925120,481280,857,860.8,18.05,,-0.0258,0.0625,2.5528,0.00846,0.3948
235,1933312,483328,863,863.5,17.9,,-0.0286,0.083,2.5184,0.00889,0.3635
236,1941504,485376,867,866.3,18.4,,-0.0247,0.066,2.4994,0.00754,0.3594
237,1949696,487424,869,869.0,18.51,,-0.0237,0.0577,2.5495,0.00923,0.4048
238,1957888,489472,871,871.8,18.65,,-0.0274,0.0624,2.4986,0.00832,0.3604
239,1966080,491520,875,874.5,18.77,,-0.0287,0.0806,2.4413,0.00908,0.3749
240,1974272,493568,880,877.3,18.99,,-0.0263,0.0785,2.4106,0.00834,0.3784
241,1982464,495616,882,880.1,18.89,,-0.0272,0.0662,2.5217,0.0087,0.3746
242,1990656,497664,885,882.8,18.96,,-0.0299,0.0722,2.509,0.00983,0.384
243,1998848,499712,889,885.6,19.04,,-0.0258,0.0708,2.4496,0.00856,0.3872
244,2007040,501760,890,888.3,18.93,,-0.028,0.0638,2.4925,0.0077,0.3624
245,2015232,503808,892,891.0,19.0,,-0.0297,0.0735,2.5083,0.00872,0.3833
246,2023424,505856,896,893.7,19.02,,-0.0284,0.0581,2.5329,0.00917,0.3756
247,2031616,507904,899,896.4,19.0,,-0.0283,0.0635,2.4882,0.0094,0.4003
248,2039808,509952,903,899.2,19.72,,-0.0258,0.0626,2.4037,0.00902,0.379
